Mode,Encryption Time (s),Decryption Time (s),File Size (bytes)
ECB,0.030624,0.009539,10239199
CBC,0.043410,0.023924,10239199
CFB,0.226541,0.209227,10239199
OFB,0.040819,0.023346,10239199
CTR,0.031257,0.011831,10239199
ECB,0.001727,0.001503,1023919
CBC,0.002923,0.002517,1023919
CFB,0.022554,0.020479,1023919
OFB,0.002662,0.002646,1023919
CTR,0.001939,0.001791,1023919
ECB,0.005031,0.005413,5119599
CBC,0.011847,0.012301,5119599
CFB,0.103837,0.108443,5119599
OFB,0.013497,0.013872,5119599
CTR,0.005742,0.006920,5119599
